id,question,answer,reference
11,"Nghị định quy định xử phạt vi phạm hành chính trong lĩnh vực giao 
thông đường bộ có quy định xử phạt đối với người điều khiển các loại máy kéo, 
các loại xe tương tự xe ô tô, các loại xe tương tự xe mô tô, xe máy điện, các loại xe 
tương tự xe gắn máy, xe máy điện?","Theo quy định tại khoản 1 Điều 3 Nghị định số 100/2019/NĐ-CP có quy 
định xử phạt đối với người điều khiển các loại máy kéo, các loại xe tương tự xe ô tô, 
các loại xe tương tự xe mô tô, xe máy điện, các loại xe tương tự xe gắn máy, xe máy 
điện, cụ thể: 
a) Máy kéo là loại xe gồm phần đầu máy tự di chuyển, được lái bằng càng hoặc 
vô lăng và rơ moóc được kéo theo (có thể tháo rời với phần đầu kéo); 
b) Các loại xe tương tự xe ô tô là loại phương tiện giao thông đường bộ chạy 
bằng động cơ có từ hai trục, bốn bánh xe trở lên, có phần động cơ và thùng hàng (nếu 
có) lắp trên cùng một xát xi (kể cả loại xe 4 bánh chạy bằng năng lượng điện); 
c) Các loại xe tương tự xe mô tô là phương tiện giao thông đường bộ chạy bằng 
động cơ, có hai bánh hoặc ba bánh, có dung tích làm việc của động cơ từ 50 cm3 trở 
lên, có vận tốc thiết kế lớn nhất lớn hơn 50 km/h, có khối lượng bản thân không lớn 
hơn 400 kg;d) Xe máy điện là xe gắn máy được dẫn động bằng động cơ điện có công suất lớn 
nhất không lớn hơn 4 kW, có vận tốc thiết kế lớn nhất không lớn hơn 50 km/h; 
đ) Các loại xe tương tự xe gắn máy là phương tiện giao thông đường bộ chạy 
bằng động cơ, có hai bánh hoặc ba bánh và vận tốc thiết kế lớn nhất không lớn hơn 50 
km/h, trừ các xe quy định tại điểm e khoản này; 
e) Xe đạp máy là xe thô sơ hai bánh có lắp động cơ, vận tốc thiết kế lớn nhất 
không lớn hơn 25 km/h và khi tắt máy thì đạp xe đi được (kể cả xe đạp điện).",100/2019/NĐ-CP::article::3::clause::1
12,"XPVPHC trong lĩnh vực giao thông ngoài hình thức xử phạt chính, 
người có thẩm quyền có thể áp dụng những biện pháp khắc phục hậu quả nào?","Theo quy định tại khoản 1, khoản 2 Điều 4 Nghị định số 100/2019/NĐ
CP (sửa đổi, bổ sung tại khoản 34 Điều 2 Nghị định số 123/2021/NĐ-CP) có 28 biện 
pháp khắc phục hậu quả mà cá nhân có thẩm quyền có thể áp dụng đối với người có 
hành vi vi phạm hành chính trong lĩnh vực giao thông đường bộ, trong đó các biện 
pháp phổ biến được áp dụng như: 
Buộc khôi phục lại tình trạng ban đầu đã bị thay đổi do vi phạm hành chính gây 
ra; 
Buộc phá dỡ công trình, phần công trình xây dựng không có giấy phép hoặc xây 
dựng không đúng với giấy phép; 
Buộc thực hiện biện pháp để khắc phục tình trạng ô nhiễm môi trường do vi 
phạm hành chính gây ra; 
Buộc tái xuất phương tiện khỏi Việt Nam; 
Buộc nộp lại số lợi bất hợp pháp có được do thực hiện vi phạm hành chính; 
Buộc phải bố trí phương tiện khác để chở số hành khách vượt quá quy định 
được phép chở của phương tiện; 
Buộc phải đăng ký, niêm yết đầy đủ, chính xác các thông tin theo quy định; 
Buộc phải khôi phục lại nhãn hiệu, màu sơn ghi trong Giấy đăng ký xe theo quy 
định hoặc buộc phải thực hiện đúng quy định về biển số, quy định về kẻ chữ trên thành 
xe và cửa xe; 
Buộc phải khôi phục lại hình dáng, kích thước, tình trạng an toàn kỹ thuật ban 
đầu của xe và đăng kiểm lại trước khi đưa phương tiện ra tham gia giao thông; 
Buộc phải làm thủ tục đăng ký xe, đăng ký sang tên hoặc thủ tục đổi lại, thu hồi 
Giấy đăng ký xe, biển số xe, Giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ 
môi trường theo quy định;.. Và các biện pháp khắc phục hậu quả khác được quy định tại khoản 2, Điều 4  
Nghị định số 100/2019/NĐ-CP","100/2019/NĐ-CP::article::4::clause::1, 100/2019/NĐ-CP::article::4::clause::2, 123/2021/NĐ-CP::article::2::clause::34"
13,"Khi lái xe ô tô đi trên đường mà không chấp hành hiệu lệnh, chỉ 
dẫn của biển báo hiệu, vạch kẻ đường thì bị xử phạt như thế nào?","Hành vi trên bị xử phạt theo quy định tại điểm a khoản 1 Điều 5 Nghị 
định số 100/2019/NĐ-CP (sửa đổi, bổ sung tại khoản 34 Điều 2 Nghị định số 
123/2021/NĐ-CP), cụ thể: 
Phạt tiền từ 300.000 đồng đến 400.000 đồng đối với người điều khiển xe ô tô và 
các loại xe tương tự xe ô tô mà không chấp hành hiệu lệnh, chỉ dẫn của biển báo hiệu, 
vạch kẻ đường, trừ một số hành vi bị xử phạt theo quy định khác.","100/2019/NĐ-CP::article::5::clause::1, 123/2021/NĐ-CP::article::2::clause::34"
14,"Người điều khiển xe ô tô tham gia giao thông mà khi chuyển hướng 
không nhường đường cho: Các xe đi ngược chiều; người đi bộ đang qua đường 
tại nơi không có vạch kẻ đường cho người đi bộ thì có bị xử phạt không? Nếu có 
mức xử phạt là bao nhiêu?","Hành vi trên bị xử phạt theo quy định tại điểm c khoản 1 Điều 5 Nghị 
định số 100/2019/NĐ-CP (sửa đổi, bổ sung tại khoản 34 Điều 2 Nghị định số 
123/2021/NĐ-CP): Người điều khiển xe ô tô và các loại xe tương tự xe ô tô mà chuyển 
hướng không nhường đường cho: Các xe đi ngược chiều; người đi bộ, xe lăn của 
người khuyết tật đang qua đường tại nơi không có vạch kẻ đường cho người đi bộ bị 
xử phạt từ 300.000 đồng đến 400.000 đồng.","100/2019/NĐ-CP::article::5::clause::1::point::c, 123/2021/NĐ-CP::article::2::clause::34"
15,"Người điều khiển xe ô tô khi tham gia giao thông dừng xe không có 
tín hiệu báo cho người điều khiển phương tiện khác biết bị xử phạt như thế nào?","Hành vi trên bị xử phạt theo quy định tại điểm d khoản 1 Điều 5 Nghị 
định 100/2019/NĐ-CP (sửa đổi, bổ sung tại khoản 34 Điều 2 Nghị định số 
123/2021/NĐ-CP): Phạt tiền từ 300.000 đồng đến 400.000 đồng đối với người điều 
khiển xe thực hiện hành vi vi phạm: Khi dừng xe, đỗ xe không có tín hiệu báo cho 
người điều khiển phương tiện khác biết;","100/2019/NĐ-CP::article::5::clause::1::point::d, 123/2021/NĐ-CP::article::2::clause::34"
16,"Hành vi  bấm còi trong đô thị và khu đông dân cư vào ban đêm có 
bị xử phạt vi phạm hành chính không? Mức phạt là bao nhiêu?","Hành vi trên bị xử phạt theo quy định tại Điểm g khoản 1 Điều 5 Nghị 
định số 100/2019/NĐ-CP (sửa đổi, bổ sung tại khoản 34 Điều 2 Nghị định số 
123/2021/NĐ-CP): Phạt tiền từ 300.000 đồng đến 400.000 đồng đối với người điều 
khiển xe thực hiện hành vi vi phạm sau đây: 
g) Bấm còi trong đô thị và khu đông dân cư trong thời gian từ 22 giờ ngày hôm 
trước đến 05 giờ ngày hôm sau, trừ các xe ưu tiên đang đi làm nhiệm vụ theo quy định.","100/2019/NĐ-CP::article::5::clause::1::point::g, 123/2021/NĐ-CP::article::2::clause::34"
17,"Khi điều khiển xe ô tô chuyển làn đường không đúng nơi cho phép 
hoặc không có tín hiệu báo trước thì bị xử phạt như thế nào theo quy định?","Hành vi trên bị xử phạt theo quy định tại điểm a khoản 2 Điều 5 Nghị 
định số 100/2019/NĐ-CP: 
2. Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe 
thực hiện một trong các hành vi vi phạm sau đây: 
a) Chuyển làn đường không đúng nơi cho phép hoặc không có tín hiệu báo 
trước, trừ các hành vi: chuyển làn đường không đúng nơi cho phép hoặc không có tín 
hiệu báo trước khi chạy trên đường cao tốc;",100/2019/NĐ-CP::article::5::clause::2::point::a
18,"Hành vi chở nhiều người ngồi trên buồng lái có bị xử phạt VPHC 
không? Mức phạt như thế nào?","Hành vi trên bị xử phạt theo quy định tại điểm c khoản 2 Điều 5 Nghị 
định 100/2019/NĐ-CP: 
2. Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe 
thực hiện hành vi vi phạm sau đây: 
c) Chở người trên buồng lái quá số lượng quy định;",100/2019/NĐ-CP::article::5::clause::2::point::c
19,"Người điều khiển xe gây tai nạn giao thông mà không đưa người bị 
nạn đi cấp cứu  bị xử phạt VPHC như thế nào?","Hành vi trên bị xử phạt theo quy định tại điểm đ khoản 2 Điều 5 Nghị 
định 100/2019/NĐ-CP: 
2. Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe 
thực hiện một trong các hành vi vi phạm sau đây: 
đ) Điều khiển xe có liên quan trực tiếp đến vụ tai nạn giao thông mà không 
dừng lại, không giữ nguyên hiện trường, không tham gia cấp cứu người bị nạn, trừ 
hành vi vi phạm quy định tại điểm b khoản 8 Điều này;",100/2019/NĐ-CP::article::5::clause::2::point::đ
20,"Lái xe ô tô quay đầu xe ở phần đường dành cho người đi bộ qua 
đường trừ trường hợp tổ chức giao thông tại những khu vực này có bố trí nơi 
quay đầu xe thì bị xử phạt như thế nào?","Hành vi trên bị xử phạt theo quy định tại điểm k khoản 2 Điều 5 Nghị 
định số 100/2019/NĐ-CP, cụ thể: 
2. Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe 
thực hiện hành vi vi phạm sau đây: k) Quay đầu xe ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu 
cầu, ngầm, gầm cầu vượt, trừ trường hợp tổ chức giao thông tại những khu vực này có 
bố trí nơi quay đầu xe.",100/2019/NĐ-CP::article::5::clause::2::point::k
